Team_1,Team_2,Ground,toss_winner,Bat,Winner,Toss
Kenya,Canada,ICCA Dubai,Kenya,first,Kenya,win
Sri Lanka,Bangladesh,Pallekele,Sri Lanka,first,Sri Lanka,loss
Kenya,Netherlands,Windhoek,Kenya,2nd,Kenya,loss
Kenya,Netherlands,Windhoek,Kenya,2nd,Kenya,win
Zimbabwe,Bangladesh,Bulawayo,Zimbabwe,first,Zimbabwe,win
Bangladesh,Zimbabwe,Bulawayo,Bangladesh,first,Bangladesh,win
NewZealand,England,The Oval,NewZealand,first,NewZealand,loss
Scotland,Kenya,Aberdeen,Scotland,first,Scotland,win
Scotland,Kenya,Aberdeen,Scotland,2nd,Scotland,loss
Pakistan,West Indies,Kingstown,Pakistan,2nd,Pakistan,loss
Pakistan,West Indies,Kingstown,Pakistan,first,Pakistan,win
South Africa,Sri Lanka,Colombo (RPS),South Africa,first,South Africa,win
South Africa,Sri Lanka,Hambantota,South Africa,first,South Africa,win
Sri Lanka,South Africa,Hambantota,Sri Lanka,2nd,Sri Lanka,loss
Pakistan,Zimbabwe,Harare,Pakistan,first,Pakistan,loss
Pakistan,Zimbabwe,Harare,Pakistan,first,Pakistan,loss
Australia,England,Southampton,Australia,first,Australia,loss
England,Australia,Chester-le-Street,England,first,England,loss
Afghanistan,Kenya,Sharjah,Afghanistan,first,Afghanistan,win
India,Australia,Rajkot,India,2nd,India,win
Kenya,Afghanistan,Sharjah,Kenya,first,Kenya,win
NewZealand,Bangladesh,Dhaka,NewZealand,first,NewZealand,win
South Africa,Pakistan,Dubai (DSC),South Africa,2nd,South Africa,loss
Netherlands,Afghanistan,Sharjah,Netherlands,2nd,Netherlands,loss
South Africa,Pakistan,Dubai (DSC),South Africa,first,South Africa,win
Afghanistan,Scotland,Sharjah,Afghanistan,first,Afghanistan,win
Ireland,Canada,Abu Dhabi,Ireland,first,Ireland,loss
Kenya,Scotland,ICCA Dubai,Kenya,first,Kenya,win
South Africa,Pakistan,Johannesburg,South Africa,first,South Africa,loss
Sri Lanka,NewZealand,Pallekele,Sri Lanka,2nd,Sri Lanka,win
Scotland,Netherlands,ICCA Dubai,Scotland,first,Scotland,loss
Pakistan,South Africa,Cape Town,Pakistan,first,Pakistan,win
Netherlands,Kenya,ICCA Dubai,Netherlands,first,Netherlands,win
Afghanistan,Kenya,Sharjah,Afghanistan,first,Afghanistan,win
Kenya,Canada,Sharjah,Kenya,first,Kenya,win
Netherlands,Scotland,Abu Dhabi,Netherlands,2nd,Netherlands,loss
Ireland,Afghanistan,Abu Dhabi,Ireland,first,Ireland,win
Pakistan,Afghanistan,Sharjah,Pakistan,2nd,Pakistan,loss
Pakistan,Sri Lanka,Dubai (DSC),Pakistan,2nd,Pakistan,win
Sri Lanka,Pakistan,Dubai (DSC),Sri Lanka,first,Sri Lanka,loss
NewZealand,West Indies,Auckland,NewZealand,first,NewZealand,win
NewZealand,West Indies,Wellington,NewZealand,2nd,NewZealand,loss
Australia,England,Hobart,Australia,first,Australia,win
Australia,England,Melbourne,Australia,2nd,Australia,loss
Australia,England,Sydney,Australia,first,Australia,win
Sri Lanka,Bangladesh,Chattogram,Sri Lanka,first,Sri Lanka,loss
Sri Lanka,Bangladesh,Chattogram,Sri Lanka,2nd,Sri Lanka,loss
Ireland,West Indies,Kingston,Ireland,2nd,Ireland,loss
West Indies,Ireland,Kingston,West Indies,first,West Indies,loss
West Indies,England,Bridgetown,West Indies,first,West Indies,win
West Indies,England,Bridgetown,West Indies,2nd,West Indies,loss
Australia,South Africa,Durban,Australia,2nd,Australia,win
England,West Indies,Bridgetown,England,first,England,win
Australia,South Africa,Centurion,Australia,2nd,Australia,win
Bangladesh,Afghanistan,Dhaka,Bangladesh,2nd,Bangladesh,win
Ireland,Zimbabwe,Sylhet,Ireland,2nd,Ireland,win
Netherlands,U.A.E.,Sylhet,Netherlands,2nd,Netherlands,loss
Afghanistan,Hong Kong,Chattogram,Afghanistan,2nd,Afghanistan,loss
Zimbabwe,Netherlands,Sylhet,Zimbabwe,2nd,Zimbabwe,loss
Ireland,U.A.E.,Sylhet,Ireland,2nd,Ireland,win
Hong Kong,Bangladesh,Chattogram,Hong Kong,2nd,Hong Kong,win
Zimbabwe,U.A.E.,Sylhet,Zimbabwe,2nd,Zimbabwe,win
Netherlands,Ireland,Sylhet,Netherlands,2nd,Netherlands,win
India,Pakistan,Dhaka,India,2nd,India,win
Sri Lanka,South Africa,Chattogram,Sri Lanka,first,Sri Lanka,win
NewZealand,England,Chattogram,NewZealand,2nd,NewZealand,win
Pakistan,Australia,Dhaka,Pakistan,first,Pakistan,loss
India,West Indies,Dhaka,India,2nd,India,win
South Africa,NewZealand,Chattogram,South Africa,first,South Africa,loss
Sri Lanka,Netherlands,Chattogram,Sri Lanka,2nd,Sri Lanka,win
West Indies,Bangladesh,Dhaka,West Indies,first,West Indies,loss
South Africa,Netherlands,Chattogram,South Africa,first,South Africa,loss
England,Sri Lanka,Chattogram,England,2nd,England,win
West Indies,Australia,Dhaka,West Indies,2nd,West Indies,loss
India,Bangladesh,Dhaka,India,2nd,India,win
NewZealand,Netherlands,Chattogram,NewZealand,2nd,NewZealand,win
South Africa,England,Chattogram,South Africa,first,South Africa,loss
Pakistan,Bangladesh,Dhaka,Pakistan,first,Pakistan,win
India,Australia,Dhaka,India,first,India,loss
Netherlands,England,Chattogram,Netherlands,first,Netherlands,loss
Sri Lanka,NewZealand,Chattogram,Sri Lanka,first,Sri Lanka,loss
Australia,Bangladesh,Dhaka,Australia,2nd,Australia,loss
West Indies,Pakistan,Dhaka,West Indies,first,West Indies,win
Sri Lanka,West Indies,Dhaka,Sri Lanka,first,Sri Lanka,win
India,South Africa,Dhaka,India,2nd,India,loss
Sri Lanka,India,Dhaka,Sri Lanka,2nd,Sri Lanka,win
Sri Lanka,England,The Oval,Sri Lanka,first,Sri Lanka,loss
NewZealand,West Indies,Roseau,NewZealand,2nd,NewZealand,win
West Indies,NewZealand,Roseau,West Indies,first,West Indies,loss
England,India,Birmingham,England,first,England,win
Australia,Pakistan,Dubai (DSC),Australia,2nd,Australia,loss
South Africa,Australia,Adelaide,South Africa,2nd,South Africa,loss
Australia,South Africa,Melbourne,Australia,2nd,Australia,loss
Australia,South Africa,Sydney,Australia,2nd,Australia,win
Pakistan,NewZealand,Dubai (DSC),Pakistan,2nd,Pakistan,win
NewZealand,Pakistan,Dubai (DSC),NewZealand,first,NewZealand,loss
West Indies,South Africa,Cape Town,West Indies,2nd,West Indies,loss
West Indies,South Africa,Johannesburg,West Indies,2nd,West Indies,win
South Africa,West Indies,Durban,South Africa,first,South Africa,loss
Bangladesh,Pakistan,Dhaka,Bangladesh,2nd,Bangladesh,loss
Pakistan,Zimbabwe,Lahore,Pakistan,2nd,Pakistan,loss
Pakistan,Zimbabwe,Lahore,Pakistan,2nd,Pakistan,loss
Scotland,Ireland,Bready,Scotland,2nd,Scotland,loss
Scotland,Ireland,Bready,Scotland,2nd,Scotland,win
England,NewZealand,Manchester,England,first,England,win
South Africa,Bangladesh,Dhaka,South Africa,first,South Africa,win
South Africa,Bangladesh,Dhaka,South Africa,first,South Africa,win
Scotland,U.A.E.,Edinburgh,Scotland,2nd,Scotland,win
Afghanistan,Netherlands,Edinburgh,Afghanistan,first,Afghanistan,loss
Afghanistan,U.A.E.,Edinburgh,Afghanistan,2nd,Afghanistan,loss
Netherlands,Scotland,Edinburgh,Netherlands,first,Netherlands,win
Netherlands,U.A.E.,Edinburgh,Netherlands,2nd,Netherlands,win
Afghanistan,Scotland,Edinburgh,Afghanistan,first,Afghanistan,win
P.N.G.,Ireland,Belfast,P.N.G.,2nd,P.N.G.,loss
India,Zimbabwe,Harare,India,first,India,win
Hong Kong,Ireland,Dublin (Malahide),Hong Kong,first,Hong Kong,loss
Zimbabwe,India,Harare,Zimbabwe,first,Zimbabwe,win
Hong Kong,Afghanistan,Dublin (Malahide),Hong Kong,2nd,Hong Kong,loss
Afghanistan,P.N.G.,Dublin (Malahide),Afghanistan,2nd,Afghanistan,loss
Scotland,Hong Kong,Dublin (Malahide),Scotland,2nd,Scotland,win
Afghanistan,Oman,Dublin,Afghanistan,2nd,Afghanistan,win
Netherlands,Ireland,Dublin (Malahide),Netherlands,2nd,Netherlands,win
Pakistan,Sri Lanka,Colombo (RPS),Pakistan,first,Pakistan,win
Pakistan,Sri Lanka,Colombo (RPS),Pakistan,2nd,Pakistan,loss
NewZealand,Zimbabwe,Harare,NewZealand,first,NewZealand,loss
South Africa,NewZealand,Durban,South Africa,2nd,South Africa,win
NewZealand,South Africa,Centurion,NewZealand,first,NewZealand,win
England,Australia,Cardiff,England,first,England,loss
Pakistan,Zimbabwe,Harare,Pakistan,first,Pakistan,win
Pakistan,Zimbabwe,Harare,Pakistan,first,Pakistan,win
South Africa,India,Dharamsala,South Africa,2nd,South Africa,win
South Africa,India,Cuttack,South Africa,2nd,South Africa,win
Afghanistan,Zimbabwe,Bulawayo,Afghanistan,2nd,Afghanistan,loss
Afghanistan,Zimbabwe,Bulawayo,Afghanistan,2nd,Afghanistan,loss
Sri Lanka,West Indies,Pallekele,Sri Lanka,first,Sri Lanka,loss
West Indies,Sri Lanka,Colombo (RPS),West Indies,first,West Indies,win
Bangladesh,Zimbabwe,Dhaka,Bangladesh,2nd,Bangladesh,win
Zimbabwe,Bangladesh,Dhaka,Zimbabwe,2nd,Zimbabwe,loss
Oman,Hong Kong,Abu Dhabi,Oman,2nd,Oman,win
U.A.E.,Oman,Abu Dhabi,U.A.E.,2nd,U.A.E.,win
Oman,Hong Kong,Abu Dhabi,Oman,first,Oman,loss
Hong Kong,Oman,Abu Dhabi,Hong Kong,2nd,Hong Kong,win
England,Pakistan,Dubai (DSC),England,first,England,win
England,Pakistan,Dubai (DSC),England,first,England,win
Hong Kong,Afghanistan,Abu Dhabi,Hong Kong,2nd,Hong Kong,loss
Afghanistan,Oman,Abu Dhabi,Afghanistan,first,Afghanistan,loss
Afghanistan,Oman,Abu Dhabi,Afghanistan,first,Afghanistan,loss
NewZealand,Sri Lanka,Mount Maunganui,NewZealand,first,NewZealand,loss
Afghanistan,Zimbabwe,Sharjah,Afghanistan,first,Afghanistan,win
NewZealand,Sri Lanka,Auckland,NewZealand,2nd,NewZealand,win
Afghanistan,Zimbabwe,Sharjah,Afghanistan,first,Afghanistan,loss
Pakistan,NewZealand,Auckland,Pakistan,first,Pakistan,loss
Bangladesh,Zimbabwe,Khulna,Bangladesh,2nd,Bangladesh,loss
NewZealand,Pakistan,Hamilton,NewZealand,2nd,NewZealand,loss
Bangladesh,Zimbabwe,Khulna,Bangladesh,first,Bangladesh,win
Zimbabwe,Bangladesh,Khulna,Zimbabwe,first,Zimbabwe,win
NewZealand,Pakistan,Wellington,NewZealand,first,NewZealand,loss
Zimbabwe,Bangladesh,Khulna,Zimbabwe,first,Zimbabwe,win
India,Australia,Adelaide,India,first,India,loss
India,Australia,Melbourne,India,first,India,loss
Hong Kong,Scotland,Mong Kok,Hong Kong,2nd,Hong Kong,win
Scotland,Hong Kong,Mong Kok,Scotland,first,Scotland,loss
India,Australia,Sydney,India,2nd,India,loss
Netherlands,U.A.E.,ICCA Dubai,Netherlands,first,Netherlands,loss
U.A.E.,Scotland,ICCA Dubai,U.A.E.,first,U.A.E.,win
Scotland,Netherlands,ICCA Dubai,Scotland,first,Scotland,win
Ireland,P.N.G.,Townsville,Ireland,2nd,Ireland,win
Ireland,P.N.G.,Townsville,Ireland,first,Ireland,loss
P.N.G.,Ireland,Townsville,P.N.G.,first,P.N.G.,win
Sri Lanka,India,Pune,Sri Lanka,2nd,Sri Lanka,win
India,Sri Lanka,Ranchi,India,first,India,loss
Ireland,U.A.E.,Abu Dhabi,Ireland,first,Ireland,loss
India,Sri Lanka,Visakhapatnam,India,2nd,India,win
U.A.E.,Ireland,Abu Dhabi,U.A.E.,first,U.A.E.,win
U.A.E.,Afghanistan,Fatullah,U.A.E.,first,U.A.E.,win
Oman,Hong Kong,Fatullah,Oman,first,Oman,win
South Africa,England,Cape Town,South Africa,2nd,South Africa,win
Afghanistan,Oman,Fatullah,Afghanistan,2nd,Afghanistan,loss
U.A.E.,Hong Kong,Fatullah,U.A.E.,2nd,U.A.E.,loss
South Africa,England,Johannesburg,South Africa,2nd,South Africa,win
Afghanistan,Hong Kong,Dhaka,Afghanistan,first,Afghanistan,loss
U.A.E.,Oman,Dhaka,U.A.E.,first,U.A.E.,loss
India,Bangladesh,Dhaka,India,first,India,loss
Sri Lanka,U.A.E.,Dhaka,Sri Lanka,first,Sri Lanka,loss
Bangladesh,U.A.E.,Dhaka,Bangladesh,first,Bangladesh,loss
India,Pakistan,Dhaka,India,2nd,India,win
Bangladesh,Sri Lanka,Dhaka,Bangladesh,first,Bangladesh,win
Pakistan,U.A.E.,Dhaka,Pakistan,2nd,Pakistan,loss
India,Sri Lanka,Dhaka,India,2nd,India,win
Bangladesh,Pakistan,Dhaka,Bangladesh,2nd,Bangladesh,loss
India,U.A.E.,Dhaka,India,2nd,India,loss
Pakistan,Sri Lanka,Dhaka,Pakistan,2nd,Pakistan,win
South Africa,Australia,Durban,South Africa,2nd,South Africa,loss
Australia,South Africa,Johannesburg,Australia,2nd,Australia,win
India,Bangladesh,Dhaka,India,2nd,India,win
Zimbabwe,Hong Kong,Nagpur,Zimbabwe,first,Zimbabwe,loss
Afghanistan,Scotland,Nagpur,Afghanistan,first,Afghanistan,win
Bangladesh,Netherlands,Dharamsala,Bangladesh,first,Bangladesh,loss
Oman,Ireland,Dharamsala,Oman,2nd,Oman,loss
Australia,South Africa,Cape Town,Australia,2nd,Australia,loss
Zimbabwe,Scotland,Nagpur,Zimbabwe,first,Zimbabwe,win
Afghanistan,Hong Kong,Nagpur,Afghanistan,2nd,Afghanistan,loss
Afghanistan,Zimbabwe,Nagpur,Afghanistan,first,Afghanistan,win
Scotland,Hong Kong,Nagpur,Scotland,2nd,Scotland,loss
Netherlands,Ireland,Dharamsala,Netherlands,first,Netherlands,loss
Bangladesh,Oman,Dharamsala,Bangladesh,first,Bangladesh,loss
NewZealand,India,Nagpur,NewZealand,first,NewZealand,win
Pakistan,Bangladesh,Kolkata,Pakistan,first,Pakistan,win
West Indies,England,Mumbai,West Indies,2nd,West Indies,win
Sri Lanka,Afghanistan,Kolkata,Sri Lanka,2nd,Sri Lanka,loss
NewZealand,Australia,Dharamsala,NewZealand,first,NewZealand,win
England,South Africa,Mumbai,England,2nd,England,win
India,Pakistan,Kolkata,India,2nd,India,win
South Africa,Afghanistan,Mumbai,South Africa,first,South Africa,win
West Indies,Sri Lanka,Bengaluru,West Indies,2nd,West Indies,win
Australia,Bangladesh,Bengaluru,Australia,2nd,Australia,win
NewZealand,Pakistan,Mohali,NewZealand,first,NewZealand,win
England,Afghanistan,Delhi,England,first,England,win
India,Bangladesh,Bengaluru,India,first,India,loss
Australia,Pakistan,Mohali,Australia,first,Australia,win
West Indies,South Africa,Nagpur,West Indies,2nd,West Indies,win
NewZealand,Bangladesh,Kolkata,NewZealand,first,NewZealand,win
England,Sri Lanka,Delhi,England,first,England,loss
Afghanistan,West Indies,Nagpur,Afghanistan,first,Afghanistan,loss
India,Australia,Mohali,India,2nd,India,loss
South Africa,Sri Lanka,Delhi,South Africa,2nd,South Africa,win
England,NewZealand,Delhi,England,2nd,England,win
West Indies,India,Mumbai,West Indies,2nd,West Indies,win
West Indies,England,Kolkata,West Indies,2nd,West Indies,win
Zimbabwe,India,Harare,Zimbabwe,first,Zimbabwe,loss
India,Zimbabwe,Harare,India,2nd,India,loss
India,Zimbabwe,Harare,India,first,India,loss
England,Sri Lanka,Southampton,England,2nd,England,loss
West Indies,India,Lauderhill,West Indies,first,West Indies,loss
Hong Kong,Ireland,Bready,Hong Kong,first,Hong Kong,win
Australia,Sri Lanka,Pallekele,Australia,first,Australia,loss
Pakistan,England,Manchester,Pakistan,2nd,Pakistan,loss
Australia,Sri Lanka,Colombo (RPS),Australia,2nd,Australia,loss
Pakistan,West Indies,Dubai (DSC),Pakistan,2nd,Pakistan,win
Pakistan,West Indies,Dubai (DSC),Pakistan,first,Pakistan,loss
Pakistan,West Indies,Abu Dhabi,Pakistan,2nd,Pakistan,win
Afghanistan,U.A.E.,ICCA Dubai,Afghanistan,first,Afghanistan,win
Afghanistan,U.A.E.,Dubai (DSC),Afghanistan,2nd,Afghanistan,loss
Afghanistan,U.A.E.,ICCA Dubai,Afghanistan,first,Afghanistan,win
NewZealand,Bangladesh,Napier,NewZealand,2nd,NewZealand,loss
NewZealand,Bangladesh,Mount Maunganui,NewZealand,first,NewZealand,loss
NewZealand,Bangladesh,Mount Maunganui,NewZealand,first,NewZealand,loss
Scotland,Hong Kong,Abu Dhabi,Scotland,first,Scotland,win
Afghanistan,Ireland,Abu Dhabi,Afghanistan,2nd,Afghanistan,loss
Netherlands,Oman,Abu Dhabi,Netherlands,2nd,Netherlands,loss
Oman,Hong Kong,Abu Dhabi,Oman,2nd,Oman,win
Afghanistan,U.A.E.,Abu Dhabi,Afghanistan,2nd,Afghanistan,win
Scotland,Netherlands,Abu Dhabi,Scotland,first,Scotland,loss
Ireland,U.A.E.,Dubai (DSC),Ireland,first,Ireland,win
Hong Kong,Netherlands,Dubai (DSC),Hong Kong,first,Hong Kong,win
Scotland,Oman,Dubai (DSC),Scotland,2nd,Scotland,loss
Afghanistan,Oman,Dubai (DSC),Afghanistan,2nd,Afghanistan,win
Ireland,Scotland,Dubai (DSC),Ireland,first,Ireland,loss
Afghanistan,Ireland,Dubai (DSC),Afghanistan,2nd,Afghanistan,loss
South Africa,Sri Lanka,Centurion,South Africa,first,South Africa,loss
Sri Lanka,South Africa,Johannesburg,Sri Lanka,2nd,Sri Lanka,loss
Sri Lanka,South Africa,Cape Town,Sri Lanka,2nd,Sri Lanka,loss
England,India,Kanpur,England,2nd,England,win
India,England,Nagpur,India,first,India,loss
India,England,Bengaluru,India,first,India,loss
South Africa,NewZealand,Auckland,South Africa,first,South Africa,loss
Sri Lanka,Australia,Melbourne,Sri Lanka,2nd,Sri Lanka,win
Sri Lanka,Australia,Geelong,Sri Lanka,2nd,Sri Lanka,win
Australia,Sri Lanka,Adelaide,Australia,first,Australia,loss
Afghanistan,Ireland,Greater Noida,Afghanistan,2nd,Afghanistan,loss
Afghanistan,Ireland,Greater Noida,Afghanistan,first,Afghanistan,win
Afghanistan,Ireland,Greater Noida,Afghanistan,first,Afghanistan,loss
Pakistan,West Indies,Bridgetown,Pakistan,2nd,Pakistan,win
Pakistan,West Indies,Port of Spain,Pakistan,first,Pakistan,loss
West Indies,Pakistan,Port of Spain,West Indies,2nd,West Indies,loss
Pakistan,West Indies,Port of Spain,Pakistan,2nd,Pakistan,win
Sri Lanka,Bangladesh,Colombo (RPS),Sri Lanka,2nd,Sri Lanka,loss
Bangladesh,Sri Lanka,Colombo (RPS),Bangladesh,first,Bangladesh,win
U.A.E.,P.N.G.,Abu Dhabi,U.A.E.,2nd,U.A.E.,win
U.A.E.,P.N.G.,Abu Dhabi,U.A.E.,first,U.A.E.,loss
U.A.E.,P.N.G.,Abu Dhabi,U.A.E.,2nd,U.A.E.,loss
West Indies,Afghanistan,Basseterre,West Indies,2nd,West Indies,loss
West Indies,Afghanistan,Basseterre,West Indies,first,West Indies,win
West Indies,Afghanistan,Basseterre,West Indies,2nd,West Indies,loss
England,South Africa,Southampton,England,2nd,England,loss
South Africa,England,Taunton,South Africa,first,South Africa,loss
England,South Africa,Cardiff,England,first,England,loss
West Indies,India,Kingston,West Indies,2nd,West Indies,win
India,Sri Lanka,Colombo (RPS),India,2nd,India,win
West Indies,England,Chester-le-Street,West Indies,first,West Indies,loss
India,Australia,Ranchi,India,2nd,India,win
Australia,India,Guwahati,Australia,2nd,Australia,win
Pakistan,Sri Lanka,Abu Dhabi,Pakistan,2nd,Pakistan,win
South Africa,Bangladesh,Bloemfontein,South Africa,first,South Africa,win
Pakistan,Sri Lanka,Abu Dhabi,Pakistan,2nd,Pakistan,win
South Africa,Bangladesh,Potchefstroom,South Africa,first,South Africa,loss
Pakistan,Sri Lanka,Lahore,Pakistan,first,Pakistan,loss
India,NewZealand,Delhi,India,first,India,loss
NewZealand,India,Rajkot,NewZealand,first,NewZealand,win
India,NewZealand,Thiruvananthapuram,India,first,India,loss
India,Sri Lanka,Cuttack,India,first,India,loss
India,Sri Lanka,Indore,India,first,India,loss
India,Sri Lanka,Mumbai,India,2nd,India,win
NewZealand,West Indies,Nelson,NewZealand,first,NewZealand,loss
NewZealand,West Indies,Mount Maunganui,NewZealand,first,NewZealand,win
NewZealand,Pakistan,Wellington,NewZealand,2nd,NewZealand,win
Pakistan,NewZealand,Auckland,Pakistan,first,Pakistan,win
Pakistan,NewZealand,Mount Maunganui,Pakistan,first,Pakistan,win
Australia,NewZealand,Sydney,Australia,2nd,Australia,win
Afghanistan,Zimbabwe,Sharjah,Afghanistan,2nd,Afghanistan,win
Afghanistan,Zimbabwe,Sharjah,Afghanistan,first,Afghanistan,loss
Australia,England,Hobart,Australia,2nd,Australia,win
Australia,England,Melbourne,Australia,2nd,Australia,win
